ESSAY;PROMPT
essay125.txt;People attend college and university for many reasons. Why do you think people attend college and university? Use specific reasons and examples to support your idea.
essay126.txt;Do you agree or disagree? It's better to have one or two close friends than to have a large number of casual acquaintances.
essay127.txt;Do you agree or disagree with the following statement? Life today is easier and more comfortable than it was when your grandparents were children. Use specific reasons and examples to support your answer.
essay128.txt;High school should allow students to study the courses that students want to study. Agree or disagree?
essay129.txt;Some people are always in a hurry to go places and get things done. Other people prefer to take their time and live life at a slower pace. Which do you prefer? Use specific reasons and examples to support your answer. 
essay130.txt;Tourism is a multibillion-dollar industry that supports economic development. However, some people think that it causes too much damage to the local environment and culture. What do you think?
essay131.txt;The government should allocate more funds to public services instead of wasting money on arts such as music, painting and so on. Do you agree or disagree with this statement? Give your own opinion
essay132.txt;The idea of having a single career is becoming an old fashioned one. The new fashion will be to have several careers or ways of earning money and further education will be something that continues throughout life.
essay133.txt;Some people think that computers are more of a hindrance than a help in today's society. Others believe that they are such indispensable tools that they would not be able to live or work without them. Discuss both opinions and give your opinion
essay134.txt;Some employers are giving increased importance to social skills. However, others still believe qualifications are the most important. Discuss both views and give your own opinion. 
essay135.txt;Some people believe that charities should give aid to those who need the aid most, wherever they live. Some people believe that charity organisations would better concentrate on people in their own countries instead. Discuss both views and give your own opinion.
essay136.txt;Students at schools and universities learn far more from lessons with teachers than from others sources (such as the internet, television).To what extent do you agree or disagree?
essay137.txt;Popular events like the football World Cup and other international sporting occasions are essential in easing international tensions and releasing patriotic emotions in a safe way. To what extent do you agree or disagree with this opinion?
essay138.txt;Many people use distance-learning programmes (study material post,TV,internet...)to study at home. But some people think that it cannot bring the benefit as much as attending college or university. Do you agree or disagree?
essay139.txt;There are many extinct species in the world nowadays. Some people say we should protect these animals from dying out, while others say we should concentrate more on problems of human beings. Discuss both opinions and give your personal view.
essay140.txt;Universities should accept equal numbers of male and female students in every subject. To what extend do you agree or disagree.
essay141.txt;Do you agree or disagree with the following statement? Face-to-face communication is better than other types of communication, such as letters, email, or telephone calls. Use specific reasons and details to support your answer.
essay142.txt;One of the consequences of improved medical care is that people are living longer and life expectancy is increasing. Do you think the disadvantages of this development outweight the disadvantages?
essay143.txt;Successful people do something new or take risks rather than only doing something they know how to do well. AGREE OR DISAGREE.
essay144.txt;Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students. Discuss these views. Which view do you agree with? Explain why.
essay145.txt;Agree or disagree? Universities spend money on improving facilities (labs and general requirements) better than hiring famous teachers. 
essay146.txt;Do you agree or dis agree with the following statement? High schools should allow students to study the courses that students want to study. Use specific reasons and examples to support your opinion.
essay147.txt;Do you agree or disagree with the following statement? Games are as important for adults as they are for children. Use specific reasons and examples to support your answer.
essay148.txt;Do you agree or disagree with the following statement? Modern technology is creating a single world culture. Use specific reasons and examples to support your answer.
essay149.txt;Do you agree or disagree with the following statement: Nowadays it is much easier to achieve success with the help from one's family than what is like before
essay150.txt;Do you agree or disagree with the following statement? Reading fiction (such as novels and short stories) is more enjoyable than watching movies. Use specific reasons and examples to explain your position.
essay151.txt;Several languages die every year. Many people feel this is a positive trend and that a world with fewer language promotes harmony and understanding between people. Analyze both sides of this argument and provide your opinion.
essay152.txt;Elderly people think that the way they spent their life was simpler and better than today. Do you agree or disagree? Provide you reasons and real life example
essay153.txt;Some people say that all secondary school and higher school students should be taught how to manage money as its an important life skill. Do you agree or disagree with this argument?
essay154.txt;Some single people like to live with a roommate, while others prefer to live alone. Which would you prefer? Give specific reasons and examples to support your answer.
essay155.txt;Do you agree or disagree with the following statement? Smoking should not be permitted in restaurants, and state laws that prohibit it should be upheld.
essay156.txt;Do you agree or disagree with the following statement? Growing violence in films has affected youngsters in a negative way?
essay157.txt;Agree or disagree: In order to be well-informed, a person must get information from many different news sources.
essay158.txt;Some people argue that there is no point in persevering old buildings when land is so valuable in our cities. Others believe that old buildings are important part of our heritage and should be preserved. Discuss both these views and state your opinion.
essay159.txt;Nowadays, many young people say that mobile phones are the most important thing in their life. Do you think the popularity of mobile phones to young people is a good or bad development? Give relevant examples from your own experience.
essay160.txt;Some people believe that there should be fixed punishments for each type of crime. Others, however,argue that the circumstances of an individual crime, and the motivation for committing it, should always be taken into account when deciding on the punishment.
essay161.txt;Some people prefer to spend their free time outdoors. Other people prefer to spend their leisure time indoors. Would you prefer to be outside or would you prefer to be inside for your leisure activities? Use specific reasons and examples to explain your choice.
essay162.txt;Many people think that cheap air travel should be encouraged because it gives ordinary people the freedom to travel further. However, others think that this leads to environmental problem, and so air travel should be more expensive in order to discourage people from having it. Discuss both sides and give your own opinion.
essay163.txt;Some people prefer to live in a small town. Others prefer to live in big city. Which place would you prefer to live in? Use specific examples to support your answer. 
essay164.txt;Salary increases and promotions to new positions are not the only ways to reward employees for good work. What other rewards for good work can be effective in encouraging further good work? Use specific examples to support your response.
essay165.txt;Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.
essay166.txt;Some people prefer to live in a small town. Others prefer to live in big city. Which place would you prefer to live in?
essay167.txt;Some people say that computers have made life easier and more convenient. Other people say that computers have made life more complex and stressful. What is your opinion? Use specific reasons and examples to support your answer. 
essay168.txt;Computers and modems have made it possible for office workers to do their work from home instead of working in offices every day. Working from home should be encouraged for workers and employees as it is good. Do you agree or dis? 
essay169.txt;Some people think that a university professor should focus time on doing research, while others think that the main role of a professor is to educate students in a university. What is your opinion and why? Use specific reasons to support your answer. 
essay170.txt;Technological progress in the past century has its negative effect, despite its remarkable contribution. To what extent do you agree or disagree?
essay171.txt;"""Prevention is better than cure"". Out of a country's health budget, a large proportion should be diverted from treatment to spending on health education and preventative measures. To what extent do you agree or disagree with this statement?"
essay172.txt;Students at a university often have a choice of places to live. They may choose to live in university dormitories, or they may choose to live in apartments in the community. Compare the advantages of living in university housing with the advantages of living in an apartment in the community. where would you prefer to live? Give reasons for your preference.
essay173.txt;Do you agree or disagree with the following statement? A zoo has no useful purpose. Use specific reasons and examples to explain your answer.
essay174.txt;Some movies are serious, designed to make the audience think. Other movies are designed primarily to amuse and entertain. Which type of movie do you prefer? Use specific reasons and examples to support your answer.
essay175.txt;Do you agree or disagree with the following statement? Television, newspapers, magazines, and other media pay too much attention to the personal lives of famous people such as public figures and celebrities. Use specific reasons and details to explain your opinion.
essay176.txt;Many people visit museums when they travel to new places. Why do you think people visit museums? Use specific reasons and examples to support your answer.
essay177.txt;In the future, students may have the choice of studying at home by using technology such as computer or television or studying or traditional school? Which would you prefer? Use specific details to explain your choice.
essay178.txt;It has recently been announced that a large shopping center may be built in your neighborhood. Do you support or oppose this plan? Why? Use specific reasons and details to support your answer.
essay179.txt;What is a very important skill a person should learn in order to be successful in the world today? Choose one skill and use specific reasons and examples to support your choice.
essay180.txt;Groups or organizations are an important part of some people's lives. Why are groups or organizations important to people? Use specific reasons and examples to explain your answer.
essay181.txt;The government has announced that it plans to build a new university. Some people think that your community would be a good place to locate the university. Compare the advantages and disadvantages of establishing a new university in your community. Use specific details in your discussion
essay182.txt;While some pelple believe that the government should provide a college education free to any citizen who wants it, others beleve that it is up to the individual to finance his/her own education. 
essay183.txt;Do you agree or disagree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinion.
essay184.txt;Do you agree or disagree with the following statement? Attending a live performance (a play, concert, sporting event, etc) is more enjoyable than watching the same event on television. Use specific reasons and examples to support your opinion.
essay185.txt;Renewable resources of energy (Sun, wind, water) will soon replace fossils fuels such as gases, oil, and coal. Do you agree or disagree?
essay186.txt;Some people think that human needs for farmland, housing and industry are more important than saving land for endangered animals. Do you agree or disagree this point of view? Why or why not. Use specific reasons and examples to support your answer.
essay187.txt;Some people think that learning a foreign language in its original country is more beneficial than learning the language in a countr with another language. Do you agree or disagree?
essay188.txt;Some people say that physical exercise should be required part of every school day. Other people believe that students should spend the whole school day on academic studies. Which opinion do you agree with?
essay189.txt;In some countries, teenagers have jobs while they are still students. Do you think is a good idea? Support your opinion with specific details.
essay190.txt;Some people believe that zoos serve useful function. Other people believe that it's cruel & wrong to confine animals in zoos. Tell which point of view you are agree with.
essay191.txt;Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer.
essay192.txt;Some people prefer to spend time with one or two close friends. Other choose to spend time with a large number of friends. Compare the advantages of each choice. Which of these two ways of spending time do you prefer? Use specific reasons to support your answers.
essay193.txt;Should government spend more money on improving roads and highways or should government spend more money on improving public transportation (Buses, trains,subways)?
essay194.txt;Do you agree or disagree with the following statement? Animals should be free, people should not keep them in zoos. Use specific reasons and examples to support your answer.
essay195.txt;A university plans to develop a new research center in your country. Some people want a center for business research. Other people want a center for research in agriculture (farming). Which of these two kinds of research centers do you recommend for your country? Use specific reasons in your recommendation.
essay196.txt;People learn in different ways. Some people learn by doing things, other people learn by reading about things, others learn by listening to people talk about things. Which of these methods of learning is best for you? Use specific examples to support your choice.
essay197.txt;Many people think that cheap air travel should be encouraged because it gives ordinary people the freedom to travel further. However, others think that this leads to environmental problem, and so air travel should be more expensive in order to discourage people from having it. Discuss both sides and give your own opinion.
essay198.txt;Should governments spend more money on improving roads and highways, or should governments spend more money on improving public transportation(buses, trains, subways)? Why? 
essay199.txt;Some students prefer to study alone. Others prefer to study with a group of students. Which do you prefer? Use specific reasons and examples to support your answer?
essay200.txt;Some people believe that the Earth is being harmed (damaged) by human activity. Others feel that human activity makes the Earth a better place to live. What is your opinion? Use specific reasons and examples to support your answer.
essay201.txt;A company is going to give some money either to support the arts or protect the environment. Which do you think the company chooses? Use specific reasons and examples to support your answer.
essay202.txt;We all work or will work in our jobs with many different kinds of people. In your opinion, what are some important characteristics of a co-worker (Someone you work closely with) ? Use reasons and specific examples to explain why these characteristics are important. 
essay203.txt;When people succeed it is because of hard work. Luck has nothing to do with success. Do you agree or disagree with the quotation above? Use specific reasons and examples to explain your position.
essay204.txt;Distance learning and online computer classes should replace classroom learning.
essay205.txt;Some people believe that university students should be required to attend classes. Others believe that going to classes should be optional for students. Which point of view do you agree with? Use specific reasons and details to explain your answer.
essay206.txt;Some people prefer to live in a small town. Others prefer to live in a big city. Which place would you prefer to live in? Use specific reasons and details to support your answer.
essay207.txt;In many countries, young people leave rural areas to study or work in cities. What do you think are reason of this? Do you think the advantages outweigh the disadvantages?
essay208.txt;Do you agree or disagree with the following statement. High school students should take a course on basic economics
essay209.txt;University education should be restricted to the very best academic students, rather than being available to a large proportion of young people. To what extent do you agree or disagree?
essay210.txt;Prevention is better than cure. Out of a country's health budget, a large proportion should be diverted from treatment to spending on health education and preventative measures. To what extent do you agree or disagree with this statement?
essay211.txt;With the pressures on today’s young people to succeed academically, some people believe that non-academic subjects at school (eg: physical education and cookery should be removed from the syllabus so that children can concentrate wholly on academic subjects. To what extent do you agree or disagree?
essay212.txt;When people move to another country, some of them decide to follow the customs of the new country. Others prefer to keep their own customs. Compare these two choices. Which one do you prefer? Support your answer with specific details.
essay213.txt;Is it more important to be able to ework with a group of people on ta tem or to work independently? Use reasons and specific examples to support your answer.
essay214.txt;Do you agree or disagree with the following statement? Smoking should not be promitted in restaurants and state laws that prohibit it should be upheld. Use examples and specific reasons to support your position.
essay215.txt;Do you agree that people should have hobbies and do physical activities that are very different from one's work?
essay216.txt;Should government spend more money on improving roads and highways, or should governments spend more money on improving public transportation (buses, trains, subways)? Why? Use specific reasons and details to develop your essay.
essay217.txt;Some people believe that the best way of learning life is by listening to the advice of family and friends. Other people believe that the best way of learning about life is through personal experience. Compare the advantages of these two different ways of learning about life. Which do you think is preferable?
essay218.txt;Do you agree or disagree with the following statement? Childhood is the happiest time of a person's life.
essay219.txt;Nowadays, food has become easier to prepare. Has this change improved the way people live? Use specific reasons and examples to support your answer.
essay220.txt;Some young adults want independence from their parents as soon as possible. Other young adults prefer to live with their families for a longer time. Which of these situations do you think is better? Use specific reasons and examples to support your opinion.
essay221.txt;Do you agree or disagree with the statement that a zoo has no useful purpose. Use specific reasons and example to explain your answer.
essay222.txt;Parents are the best teacher for young children. To what extend do you argee or disagree?
essay223.txt;Some people say that television has a bad influence to young children. To what extend do you agree or disagree?
essay224.txt;Businesses should hire employees for their entire lives. Do you agree or disagree. Use specific reasons and examples to support your answer. 
essay225.txt;Do you agree or disagree with the following statement? Childhood is the happiest time of a person's life. Use reasons and specific examples to support your opinion.
essay226.txt;Learning about the past has no value on for those of us living the present. Do you agree or disagree? Use specific reasons and examples to support your answer.
essay227.txt;Governments spent a lot of money for traveling outer space. Do you think the investment is reasonable? Give your own opinion and reasons to support you claim
essay228.txt;Do you agree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinion. 
essay229.txt;Do you agree or disagree with the following statement? Letting a friend make a mistake is better than taking action that risks destroying a friendship.Use specific reasons and examples to support your opinion.
essay230.txt;One of the best ways that parents can help their teenage children prepare for adult life is to encourage them to take a part-time job.
essay231.txt;It is better for children to grow up in the countryside than in a big city. Do you agree or disagree? Use specific reasons and examples to develop your essay.
essay232.txt;Do you agree or disagree with the following statement? Parents are the best teachers. Use specific reasons and examples to support your answer.
essay233.txt;Nowadays, food has become easier to prepare. Has this change improved the way people live? Use specific reasons and examples to support your answer.
essay234.txt;Students should be required to take regular standardized tests to prove that they are learning
essay235.txt;Do you agree or disagree with the following statement? A university education should be provided free of charge to all interested scholars
essay236.txt;Some people think university professors should spend more time doing research while others think they should spend more time educating students. What is your view? 
essay237.txt;How do television or movies influence people's behavior? Use reasons and specific examples to explain your answer.
